player_name,position,team,projected_points,adp
Jack Bech,WR,LV,77.9,238.2
Kendrick Bourne,WR,ARI,77.4,999.0
Calvin Ridley,WR,TEN,77.3,253.2
Tyler Allgeier,RB,ARI,77.2,145.4
New Orleans Saints,DEF,NO,77.0,244.6
Theo Johnson,TE,NYG,77.0,232.2
Dawson Knox,TE,BUF,76.4,999.0
Darius Slayton,WR,NYG,76.3,999.0
Colby Parkinson,TE,LAR,76.3,251.4
Olamide Zaccheaus,WR,ATL,75.8,999.0
Antonio Williams,WR,WAS,75.2,235.4
Washington Commanders,DEF,WAS,75.0,999.0
Matt Gay,K,LV,75.0,263.3
Drew Stevens,K,WAS,74.0,629.7
Cleveland Browns,DEF,CLE,74.0,266.6
Darnell Mooney,WR,NYG,73.4,249.2
Elijah Arroyo,TE,SEA,72.2,999.0
KaVontae Turpin,WR,DAL,71.5,999.0
Jahan Dotson,WR,ATL,71.2,999.0
Jake Tonges,TE,SF,70.8,241.4
Evan Engram,TE,DEN,70.7,999.0
Dontayvion Wicks,WR,PHI,70.4,999.0
Trey Smack,K,GB,70.0,212.8
Marvin Mims,WR,DEN,69.9,219.5
Brian Robinson,RB,ATL,69.9,155.6
Samaje Perine,RB,CIN,69.8,999.0
Justice Hill,RB,BAL,67.7,999.0
Marquise Brown,WR,PHI,67.5,999.0
Chris Bell,WR,MIA,67.2,240.9
Zach Charbonnet,RB,SEA,67.2,148.1
Tennessee Titans,DEF,TEN,67.0,270.2
Troy Franklin,WR,DEN,66.1,241.8
Dominic Zvada,K,NYG,66.0,355.3
Xavier Legette,WR,CAR,66.0,999.0
Arizona Cardinals,DEF,ARI,66.0,273.0
Tank Bigsby,RB,PHI,65.2,178.2
Emmett Johnson,RB,KC,65.2,208.7
Ray Davis,RB,BUF,65.1,223.5
Las Vegas Raiders,DEF,LV,65.0,279.3
New York Jets,DEF,NYJ,64.0,282.2
Jonah Coleman,RB,DEN,63.9,170.6
Nicholas Singleton,RB,TEN,63.7,209.3
Skyler Bell,WR,BUF,63.6,999.0
Alvin Kamara,RB,NO,63.0,163.1
Barion Brown,WR,NO,63.0,999.0
Isaiah Bond,WR,CLE,62.8,999.0
Tyquan Thornton,WR,KC,62.6,999.0
