player_name,position,team,projected_points,consensus_projection,floor_points,ceiling_points,ds_value,games_played,strength_of_schedule,injury_risk_pct,adp
Chicago Bears,DEF,CHI,105,99,98.2,130.6,-1,17,-4.8,0.0,260
Tyler Allgeier,RB,ARI,104,87,90.7,212.7,6,17,0.1,23.0,142
Cleveland Browns,DEF,CLE,103,91,95.4,133.4,-2,17,8.0,0.0,329
Tampa Bay Buccaneers,DEF,TB,102,93,96.5,129.0,-4,17,5.5,0.0,275
San Francisco 49ers,DEF,SF,102,84,95.0,125.7,-5,17,1.7,0.0,233
Brian Robinson Jr.,RB,ATL,100,89,85.3,212.7,5,17,-3.2,36.0,159
Indianapolis Colts,DEF,IND,99,91,93.9,128.4,-6,17,10.2,0.0,263
Tyrone Tracy Jr.,RB,NYG,99,96,74.6,231.7,5,17,2.2,34.0,146
Tennessee Titans,DEF,TEN,97,87,93.0,127.9,-7,17,-0.2,0.0,339
New Orleans Saints,DEF,NO,97,94,92.8,128.6,-7,17,13.3,0.0,595
Justice Hill,RB,BAL,96,91,86.1,191.4,3,17,-0.1,32.0,382
Mike Washington Jr.,RB,LVR,96,92,80.4,251.7,7,17,-3.1,21.0,160
MarShawn Lloyd,RB,GB,95,63,76.3,257.4,7,17,-2.2,72.0,161
James Conner,RB,ARI,87,57,72.1,173.8,0,17,0.1,34.0,231
Samaje Perine,RB,CIN,86,77,73.1,146.2,-3,17,-4.0,36.0,421
Jaydon Blue,RB,DAL,85,53,69.9,234.6,4,17,2.9,22.0,217
Jonah Coleman,RB,DEN,84,59,74.7,248.6,5,17,0.1,0.0,152
George Holani,RB,SEA,83,39,66.1,189.3,-2,17,5.6,0.0,420
Ty Johnson,RB,BUF,82,71,69.9,152.2,-3,17,-4.2,29.0,388
Emmett Johnson,RB,KC,82,49,63.6,217.6,2,17,0.6,18.0,202
Isaiah Davis,RB,NYJ,74,50,67.9,173.4,-2,17,-2.5,0.0,524
Najee Harris,RB,NYG,73,46,58.3,222.4,1,17,2.2,39.0,299
Braelon Allen,RB,NYJ,71,78,67.5,213.2,0,17,-2.5,42.0,185
LeQuint Allen,RB,JAC,70,38,64.6,161.5,-3,17,0.9,21.0,472
Sean Tucker,RB,TB,67,43,59.4,192.3,-2,17,-2.2,20.0,242
Kimani Vidal,RB,LAC,66,50,60.5,177.6,-3,17,0.6,0.0,236
Kaytron Allen,RB,WAS,65,33,55.6,206.2,-1,17,4.2,24.0,240
Nicholas Singleton,RB,TEN,65,38,56.5,224.0,0,17,2.9,19.0,227
Brashard Smith,RB,KC,64,27,52.6,141.2,-6,17,0.6,22.0,306
Malik Davis,RB,DAL,61,48,54.9,219.6,-1,17,2.9,0.0,383
Tank Bigsby,RB,PHI,60,73,57.3,210.0,-2,17,4.4,22.0,166
Kaelon Black,RB,SF,59,62,54.1,191.8,-3,17,0.7,0.0,437
Trey Benson,RB,UNS,56,7,39.2,162.2,-6,17,,25.0,331
Christopher Brooks,RB,GB,54,53,48.4,153.3,-7,17,-2.2,0.0,582
Jaylen Wright,RB,MIA,54,46,46.0,175.7,-5,17,0.8,23.0,251
Devin Singletary,RB,NYG,54,30,49.9,168.1,-6,17,2.2,29.0,387
Emanuel Wilson,RB,SEA,54,47,43.4,160.0,-6,17,5.6,0.0,254
Seth McGowan,RB,IND,53,40,43.1,168.1,-6,17,1.7,0.0,475
Kendre Miller,RB,NO,49,24,39.6,173.1,-6,17,1.8,33.0,279
Demond Claiborne,RB,MIN,46,13,39.5,176.7,-6,17,-0.1,0.0,221
Ray Davis,RB,BUF,45,59,33.9,171.8,-7,17,-4.2,24.0,214
Jordan James,RB,SF,44,51,38.4,176.9,-7,17,0.7,0.0,450
