player_name,position,team,projected_points,source_count,sigma_cross,adp,adp_local,adp_global,ecr,floor_points,ceiling_points
Xavier Worthy,WR,KC,175.33499999999998,4,13.997984081050147,134.5,141.8,134.5,129.0,149.9,266.9
Alec Pierce,WR,IND,174.45,4,10.017765469404841,100.6,101.3,100.6,99.0,136.9,262.2
Wan'Dale Robinson,WR,TEN,173.85,4,9.259532025611954,115.7,116.8,115.7,84.0,154.0,258.4
J.K. Dobbins,RB,DEN,173.54500000000002,4,13.708878813868527,91.6,94.2,91.6,100.0,144.9,269.4
Michael Wilson,WR,ARI,172.97,4,6.385992483553359,89.2,83.4,89.2,87.0,149.4,265.0
Quentin Johnston,WR,LAC,172.265,4,12.550745993764671,108.3,113.0,108.3,90.0,157.9,271.6
Khalil Shakir,WR,BUF,171.6,4,3.7121456059804565,141.8,143.1,141.8,123.0,152.4,239.1
KC Concepcion,WR,CLE,168.735,4,10.13126637362444,114.7,121.0,114.7,120.0,148.0,265.4
Dallas Goedert,TE,PHI,168.05,4,19.003174076979874,111.0,123.8,111.0,118.0,144.2,208.2
Romeo Doubs,WR,NE,167.515,4,8.463444432774802,132.9,132.1,132.9,126.0,155.1,265.1
Jake Ferguson,TE,DAL,166.235,4,4.319478170643607,118.3,97.9,118.3,117.0,148.2,199.3
Brandon Aubrey,K,DAL,165.015,4,30.68512492506209,107.7,93.1,107.7,178.0,157.4,190.9
Mark Andrews,TE,BAL,164.85,4,18.409146277507457,126.9,128.6,126.9,130.0,140.0,211.6
RJ Harvey,RB,DEN,163.565,4,11.142466438510525,91.4,79.6,91.4,91.0,136.7,271.8
Deebo Samuel,WR,SF,163.45999999999998,4,7.095075757171312,133.8,130.8,133.8,140.0,134.6,264.3
Chuba Hubbard,RB,CAR,162.805,4,24.884272643579514,92.2,76.6,92.2,97.0,127.7,275.1
Dalton Kincaid,TE,BUF,162.8,4,6.7332211211771895,96.4,86.9,96.4,110.0,142.3,223.1
Matthew Golden,WR,GB,162.6,4,4.423422506008965,121.7,127.3,121.7,127.0,146.1,275.9
Kenny Gainwell,RB,TB,161.925,4,17.327116272863567,106.7,111.8,106.7,98.0,134.4,262.7
Jalen Coker,WR,CAR,161.825,4,30.262831300678613,135.4,146.0,135.4,125.0,136.1,257.3
Isaiah Likely,TE,NYG,161.29000000000002,4,10.962486031918125,110.7,107.5,110.7,122.0,142.6,208.3
Makai Lemon,WR,PHI,159.67000000000002,4,16.987968291313308,105.9,87.4,105.9,108.0,145.3,280.5
Jonathon Brooks,RB,CAR,159.505,4,11.706281433486899,85.5,106.2,85.5,89.0,144.0,302.0
Juwan Johnson,TE,NO,156.86,4,12.150813415844501,152.1,188.5,152.1,131.0,136.7,200.3
Kyle Monangai,RB,CHI,155.42000000000002,4,10.145100623782232,111.3,99.6,111.3,116.0,132.8,264.1
Brenton Strange,TE,JAX,155.375,4,8.910235219491492,153.0,152.4,153.0,149.0,137.0,202.3
Rashid Shaheed,WR,SEA,154.85000000000002,4,9.410986487434077,142.3,146.9,142.3,143.0,136.7,252.7
Cameron Dicker,K,LAC,153.86,4,29.141830187321222,134.9,118.3,134.9,189.0,151.3,181.9
Rachaad White,RB,WAS,153.635,4,20.024424044984002,124.5,132.1,124.5,111.0,123.7,259.0
Hunter Henry,TE,NE,152.45999999999998,4,1.533221010378693,146.9,142.1,146.9,155.0,133.3,197.7
Aaron Jones,RB,MIN,152.09,4,23.10079580158802,120.7,124.4,120.7,115.0,114.2,246.9
Ka'imi Fairbairn,K,HOU,151.03,4,27.32668232088679,135.1,131.2,135.1,192.0,147.0,177.1
T.J. Hockenson,TE,MIN,151.0,4,10.934911598484307,160.0,164.5,160.0,175.0,132.4,188.4
Jason Myers,K,SEA,150.20499999999998,4,25.40578067422189,138.8,125.1,138.8,199.0,147.0,175.5
Dalton Schultz,TE,HOU,149.625,4,2.6449243845524246,159.7,192.8,159.7,151.0,136.7,188.3
Jordan Mason,RB,MIN,149.45999999999998,4,8.797742134585821,103.7,115.1,103.7,114.0,131.6,268.0
Tyjae Spears,RB,TEN,148.04500000000002,4,23.295901463562213,149.1,165.2,149.1,135.0,129.8,256.4
