player_name,position,team,projected_points,adp,ecr
Kansas City Chiefs,DEF,KC,92.53,171.0,206
Jahan Dotson,WR,ATL,92.48,,324
Dallas Cowboys,DEF,DAL,91.56,168.7,331
New York Giants,DEF,NYG,91.27,170.6,358
Colby Parkinson,TE,LAR,90.51,170.0,262
Miami Dolphins,DEF,MIA,90.39,,404
Arizona Cardinals,DEF,ARI,90.17,,455
Michael Mayer,TE,LV,90.01,,322
Tre' Harris,WR,LAC,89.75,169.5,172
Las Vegas Raiders,DEF,LV,89.67,,409
Ryan Flournoy,WR,DAL,89.17,169.5,177
Kaelon Black,RB,SF,88.65,161.2,244
San Francisco 49ers,DEF,SF,88.11,168.0,281
Carolina Panthers,DEF,CAR,86.32,,362
Brian Robinson Jr.,RB,ATL,86.08,154.5,171
Isaac TeSlaa,WR,DET,85.07,173.4,222
New York Jets,DEF,NYJ,85.03,,419
Christian Kirk,WR,SF,84.86,,275
Keaton Mitchell,RB,LAC,84.39,151.2,144
Jalen Tolbert,WR,MIA,83.6,,329
Malik Benson,WR,LV,83.56,,363
Emari Demercado,RB,KC,82.83,,295
Ted Hurst III,WR,TB,82.69,168.7,254
Tank Bigsby,RB,PHI,82.17,152.9,159
Xavier Hutchinson,WR,HOU,81.56,,330
DeMario Douglas,WR,NE,81.22,,318
Hollywood Brown,WR,PHI,81.13,,296
Zachariah Branch,WR,ATL,80.28,171.6,236
Andrei Iosivas,WR,CIN,79.52,,312
Elic Ayomanor,WR,TEN,79.47,,260
Dawson Knox,TE,BUF,79.21,,348
Chimere Dike,WR,TEN,79.19,169.8,255
Dominic Zvada,K,NYG,76.71,,497
Theo Johnson,TE,NYG,76.2,,282
Jordan James,RB,SF,75.84,169.5,266
Keon Coleman,WR,BUF,74.63,166.6,249
Darnell Washington,TE,PIT,74.1,,319
Najee Harris,RB,NYG,73.89,170.1,258
Pat Bryant,WR,DEN,72.58,166.1,180
Darnell Mooney,WR,NYG,71.5,,220
Jonnu Smith,TE,GB,71.2,,451
Joshua Palmer,WR,BUF,69.73,,352
Tyler Higbee,TE,LAR,69.16,,336
Erick All Jr.,TE,CIN,68.71,,334
Malachi Fields,WR,NYG,68.38,170.3,243
Adam Randall,RB,BAL,67.07,,297
Cole Kmet,TE,CHI,66.84,,333
Marvin Mims Jr.,WR,DEN,66.83,171.1,280
Jack Bech,WR,LV,65.82,175.0,247
Ashton Dulin,WR,IND,64.09,,402
KaVontae Turpin,WR,DAL,63.55,,376
Charlie Smyth,K,NO,63.5,,313
Noah Fant,TE,NO,63.22,,383
James Conner,RB,ARI,62.15,170.0,213
Devontez Walker,WR,BAL,62.11,,397
Will Kacmarek,TE,MIA,61.78,,462
Malik Davis,RB,DAL,60.64,,278
Savion Williams,WR,GB,59.75,,373
Kimani Vidal,RB,LAC,58.99,168.7,195
Ben Sauls,K,NYG,58.5,,408
Jahdae Walker,WR,CHI,57.17,,456
Mack Hollins,WR,NE,56.49,,300
Charlie Kolar,TE,LAC,55.41,,327
Tutu Atwell,WR,LAR,55.21,,388
Jaydon Blue,RB,DAL,54.65,167.6,223
