RK,Player,Pos,Team,BYE,PTS,SoS Rank,ADP (Average),P-RK,YPC,Rush,RUSH YDS,RUSH TD,REC,REC YDS,REC TD,YPR,Rec/Tar Game,PASS YDS,PASS TD,INT,CMP%,ATT/ GM,QB YPC,PTS (Stats),YPC (Stats),Rush (Stats),RUSH YDS (Stats),RUSH TD (Stats),REC (Stats),REC YDS (Stats),REC TD (Stats),YPR (Stats),Rec/Tar Game (Stats),PASS YDS (Stats),PASS TD (Stats),INT (Stats),CMP% (Stats),ATT/ GM (Stats),QB YPC (Stats),Auction $,Target Round
1,Jahmyr Gibbs,RB,DET,6,373,1,1,RB1,4.9,264,1306,15,71,577,4,8.1,4.2/5.4,,,,,,,367,5.0,243,1223,13,77,616,5,8.0,4.5/5.5,,,,,,,67,1.10
2,Bijan Robinson,RB,ATL,11,369,12,2,RB2,4.8,291,1386,9,79,735,4,9.3,4.6/5.9,,,,,,,371,5.1,287,1478,7,79,820,4,10.4,4.6/6.1,,,,,,,65,1.20
3,Puka Nacua,WR,LAR,11,349,25,3.9,WR1,6.9,14,94,1,119,1551,10,13.0,7.0/9.8,,,,,,,375,10.5,10,105,1,129,1715,10,13.3,8.1/10.4,,,,,,,64,1.30
4,Ja'Marr Chase,WR,CIN,6,317,8,3.1,WR2,5.1,3,17,,114,1409,10,12.4,6.7/9.9,,,,,,,314,4.7,3,14,,125,1412,8,11.3,7.8/11.6,,,,,,,62,1.40
5,Christian McCaffrey,RB,SF,8,370,15,5.8,RB3,4.0,285,1151,11,80,726,6,9.1,4.7/6.2,,,,,,,417,3.9,311,1202,10,102,924,7,9.1,6.0/7.6,,,,,0.1,,62,1.50
6,Jaxon Smith-Njigba,WR,SEA,11,334,13,5.6,WR3,5.2,5,27,,114,1626,9,14.2,6.7/9.6,,,,,,,360,5.1,7,36,,119,1793,10,15.1,7.0/9.6,,,,,,,59,1.60
7,CeeDee Lamb,WR,DAL,14,296,10,11,WR4,6.0,3,20,,105,1406,8,13.4,6.2/9.4,,,,,,,201,2.0,1,2,,75,1077,3,14.4,5.4/8.4,,,,,,,59,1.70
8,Amon-Ra St. Brown,WR,DET,6,314,14,7.3,WR5,5.7,2,10,,116,1373,10,11.8,6.8/9.9,,,,,,,324,3.0,3,9,,117,1401,11,12.0,6.9/10.1,,,,,,,55,1.80
9,Jonathan Taylor,RB,IND,13,333,13,7.6,RB4,4.7,329,1539,14,47,359,2,7.6,2.8/3.5,,,,,,,362,4.9,323,1585,18,46,378,2,8.2,2.7/3.2,,,,,,,55,1.90
10,Justin Jefferson,WR,MIN,6,303,2,11.6,WR6,4.2,2,7,,111,1430,8,12.9,6.5/9.9,,,,,,,202,3.5,2,7,,84,1048,2,12.5,4.9/8.3,,,,,,,53,2.00
11,James Cook III,RB,BUF,7,301,30,10.6,RB5,4.7,304,1441,12,39,334,2,8.6,2.3/3.1,,,,,,,302,5.2,309,1621,12,33,291,2,8.8,1.9/2.4,,,,,,,52,2.10
12,Saquon Barkley,RB,PHI,10,268,4,14.1,RB6,4.3,292,1241,10,39,328,2,8.4,2.3/3.1,,,,,,,232,4.1,280,1140,7,37,273,2,7.4,2.3/3.1,,,,,,,51,2.20
13,Kenneth Walker III,RB,KC,5,288,22,17.5,RB7,4.4,285,1263,10,51,391,2,7.7,3.0/3.8,,,,,,,192,4.6,221,1027,5,31,282,,9.1,1.8/2.1,,,,,,,51,2.30
14,Drake London,WR,ATL,11,254,15,19,WR7,,,,,94,1181,7,12.6,5.5/9.2,,,,,,,202,,,,,68,919,7,13.5,5.7/9.3,,,,,,,48,2.40
15,De'Von Achane,RB,MIA,6,302,20,15.3,RB8,4.9,263,1286,6,68,518,3,7.6,4.0/5.1,,,,,,,323,5.7,238,1350,8,67,488,4,7.3,4.2/5.3,,,,,,,46,2.50
16,Ashton Jeanty,RB,LV,13,301,32,10.8,RB9,4.1,278,1147,8,69,517,3,7.5,4.1/5.5,,,,,,,245,3.7,266,975,5,55,346,5,6.3,3.2/4.3,,,,,,,44,2.60
17,Chase Brown,RB,CIN,6,284,27,15.5,RB10,4.4,237,1045,7,67,462,4,6.9,3.9/5.0,,,,,,,283,4.4,232,1019,6,69,437,5,6.3,4.1/5.2,,,,,,,43,2.70
18,Derrick Henry,RB,BAL,13,287,19,19,RB11,4.9,311,1536,14,22,216,1,9.8,1.3/1.8,,,,,,,280,5.2,307,1595,16,15,150,,10.0,0.9/1.2,,,,,0.1,,41,2.80
19,Omarion Hampton,RB,LAC,7,276,28,15.8,RB12,4.3,266,1149,11,49,340,2,6.9,2.9/3.5,,,,,,,136,4.4,124,545,4,32,192,1,6.0,3.6/3.9,,,,,,,41,2.90
20,Brock Bowers,TE,LV,13,256,18,19.3,TE1,4.0,6,24,,100,1052,8,10.5,5.9/8.3,,,,,,,176,1.0,2,2,,64,680,7,10.6,5.3/7.2,,,,,,,40,3.00
21,George Pickens,WR,DAL,14,256,10,23.9,WR8,,,,,82,1203,9,14.7,4.8/7.5,,,,,,,292,,,,,93,1429,9,15.4,5.5/8.1,,,,,,,38,3.10
22,Nico Collins,WR,HOU,8,245,3,23,WR9,6.5,2,11,,83,1192,7,14.4,4.9/7.9,,,,,,,226,7.5,2,15,1,71,1117,6,15.7,4.7/8.0,,,,,,,38,3.20
23,Chris Olave,WR,NO,8,234,6,28.9,WR10,,,,,84,1078,7,12.8,4.9/7.9,,,,,,,268,-3.0,1,-3,,100,1163,9,11.6,6.3/9.8,,,1,,0.1,,36,3.30
24,A.J. Brown,WR,NE,11,238,28,20.6,WR11,,,,,77,1131,8,14.7,4.5/7.1,,,,,,,220,,,,,78,1003,7,12.9,5.2/8.1,,,,,,,35,3.40
25,Malik Nabers,WR,NYG,8,225,9,28.1,WR12,,,,,79,1041,7,13.2,4.9/8.2,,,,,,,57,,,,,18,271,2,15.1,4.5/8.8,,,,,,,35,3.50
26,Kyren Williams,RB,LAR,11,240,8,31.6,RB13,4.6,248,1133,11,29,201,2,6.9,1.7/2.4,,,,,,,263,4.8,259,1252,10,36,281,3,7.8,2.1/2.9,,,,,,,34,3.60
27,Jeremiyah Love,RB,ARI,14,262,25,26.5,RB14,4.4,236,1038,7,59,450,2,7.6,3.5/4.8,,,,,,,,,,,,,,,,,,,,,,,33,3.70
28,Josh Allen,QB,BUF,7,388,20,28.3,QB1,5.1,114,586,13,,,,,,4078,27,10,67%,30.4,11.6,365,5.2,112,579,14,,,,,,3668,25,10,69%,27.1,11.5,32,3.80
29,Trey McBride,TE,ARI,14,250,19,23.5,TE2,,,,,109,1053,6,9.7,6.4/8.9,,,,,,,316,,,,,126,1239,11,9.8,7.4/9.9,,,,,,,31,3.90
30,Javonte Williams,RB,DAL,14,249,5,35,RB15,4.4,279,1216,10,35,205,2,5.9,2.1/2.8,,,,,,,243,4.8,252,1201,11,35,137,2,3.9,2.2/3.2,,,,,,,30,4.00
31,Devonta Smith,WR,PHI,10,244,1,30.1,WR13,,,,,86,1099,8,12.8,5.1/7.6,,,,,,,202,,,,,77,1008,4,13.1,4.5/6.6,,,,,,,30,4.10
32,Tee Higgins,WR,CIN,6,235,8,37.9,WR14,,,,,79,1017,9,12.9,4.6/7.6,,,,,,,212,,,,,59,846,11,14.3,3.9/6.5,,,,,,,30,4.20
33,Breece Hall,RB,NYJ,13,260,23,31.6,RB16,4.4,262,1146,6,53,447,2,8.4,3.1/4.0,,,,,,,208,4.4,243,1065,4,36,350,1,9.7,2.3/3.0,4,1,,100%,0.1,4.0,30,4.30
34,Zay Flowers,WR,BAL,13,259,19,33.5,WR15,6.1,10,62,1,85,1197,7,14.1,5.0/7.4,,,,,,,243,6.2,10,62,1,86,1211,5,14.1,5.1/6.9,,,,,,,29,4.40
35,Travis Etienne Jr.,RB,NO,8,243,3,41.8,RB17,4.3,249,1063,7,47,361,2,7.7,2.8/3.7,,,,,,,254,4.3,260,1107,7,36,292,6,8.1,2.1/3.1,,,,,,,28,4.50
