RK,Player,Pos,Team,BYE,PTS,SoS Rank,ADP (Average),P-RK,YPC,Rush,RUSH YDS,RUSH TD,REC,REC YDS,REC TD,YPR,Rec/Tar Game,PASS YDS,PASS TD,INT,CMP%,ATT/ GM,QB YPC,PTS (Stats),YPC (Stats),Rush (Stats),RUSH YDS (Stats),RUSH TD (Stats),REC (Stats),REC YDS (Stats),REC TD (Stats),YPR (Stats),Rec/Tar Game (Stats),PASS YDS (Stats),PASS TD (Stats),INT (Stats),CMP% (Stats),ATT/ GM (Stats),QB YPC (Stats),Auction $,Target Round
79,Jayden Reed,WR,GB,11,190,12,104.8,WR36,7.6,10,78,,70,825,5,11.8,4.1/5.8,,,,,,,49,9.3,3,28,,19,207,1,10.9,2.7/3.1,,,,,,,10,8.90
80,Trevor Lawrence,QB,JAX,7,324,3,87.3,QB9,4.5,78,353,6,,,,,,4166,27,11,62%,33.8,11.5,338,4.4,82,359,9,,,,,,4007,29,12,61%,32.9,11.8,10,9.00
81,Sam Laporta,TE,DET,6,185,26,76.4,TE6,,,,,74,810,5,10.9,4.4/6.0,,,,,,,107,,,,,40,489,3,12.2,4.4/5.4,,,,,,,10,9.10
82,Jordan Addison,WR,MIN,6,193,2,105.4,WR37,6.2,2,11,,66,901,6,13.7,3.9/6.5,,,,,,,135,40.5,2,81,1,42,610,3,14.5,3.0/5.6,,,,,,,10,9.20
83,Dak Prescott,QB,DAL,14,319,5,80.6,QB10,3.9,52,202,2,,,,,,4470,32,10,67%,34.4,11.3,314,3.3,53,177,2,,,,,,4552,30,10,67%,35.3,11.3,9,9.30
84,Courtland Sutton,WR,DEN,10,194,29,82.1,WR38,,,,,65,872,7,13.4,3.8/6.9,,,,,,,220,,,,,74,1017,7,13.7,4.4/7.3,,,,,,,9,9.40
85,J.K. Dobbins,RB,DEN,10,193,29,97.4,RB31,4.6,223,1022,9,19,116,1,6.0,1.1/1.5,,,,,,,116,5.0,153,772,4,11,37,,3.4,1.1/1.4,,,,,,,8,9.50
86,Brock Purdy,QB,SF,8,323,24,100.8,QB11,4.4,66,289,3,,,,,,4390,31,12,67%,32.5,11.8,177,4.5,33,147,3,,,,,,2167,20,10,69%,31.6,11.0,8,9.60
87,Josh Downs,WR,IND,13,210,17,96.1,WR39,6.0,2,10,,85,877,6,10.3,5.0/7.4,,,,,,,136,-1.0,2,-2,,58,566,4,9.8,3.6/5.5,,,,,,,8,9.70
88,Jaxson Dart,QB,NYG,8,314,9,94.8,QB12,5.6,105,584,6,,,,,,3749,23,11,65%,30.4,11.2,242,5.7,86,487,9,,,,,,2272,15,5,64%,24.2,10.5,8,9.80
89,Blake Corum,RB,LAR,11,161,8,100.8,RB32,4.6,171,782,8,17,119,1,7.0,1.0/1.5,,,,,,,122,5.1,145,746,6,8,36,,4.5,0.5/0.8,,,,,,,7,9.90
90,Chuba Hubbard,RB,CAR,5,215,31,87.1,RB33,4.1,228,931,6,43,310,2,7.2,2.5/3.4,,,,,,,125,3.8,134,511,1,30,223,3,7.4,2.0/2.6,,,,,,,7,10.00
91,Alec Pierce,WR,IND,13,188,17,83.4,WR40,,,,,59,930,6,15.9,3.4/5.9,,,,,,,183,,,,,47,1003,6,21.3,3.1/5.6,,,,,,,7,10.10
92,Michael Wilson,WR,ARI,14,168,18,95.4,WR41,,,,,62,760,5,12.3,3.6/6.1,,,,,,,221,,,,,78,1006,7,12.9,4.6/7.4,,,,,,,7,10.20
93,Michael Pittman Jr.,WR,PIT,9,188,24,94.3,WR42,,,,,78,795,5,10.2,4.6/7.2,,,,,,,202,,,,,80,784,7,9.8,4.7/6.5,,,,,,,7,10.30
94,Patrick Mahomes II,QB,KC,5,290,27,104.8,QB13,5.1,51,260,3,,,,,,4088,26,11,65%,32.8,11.1,286,6.6,64,422,5,1,-10,,-10.0,0.1/0.1,3587,22,11,63%,35.9,11.4,7,10.40
95,RJ Harvey,RB,DEN,10,170,29,88.3,RB34,4.1,115,473,4,46,342,3,7.4,2.7/3.5,,,,,,,207,3.7,146,540,7,47,356,5,7.6,2.8/3.4,,,,,0.1,,6,10.50
96,Matthew Stafford,QB,LAR,11,313,17,100.4,QB14,1.3,28,35,,,,,,,4379,38,9,65%,33.6,11.8,350,,29,1,,,,,,,4707,46,8,65%,35.1,12.1,6,10.60
97,Xavier Worthy,WR,KC,5,192,30,119.9,WR43,6.8,17,116,1,61,835,5,13.7,3.6/6.1,,,,,,,110,7.9,11,87,,42,532,1,12.7,3.0/5.2,,,,,,,6,10.70
98,Kyle Pitts Sr.,TE,ATL,11,174,5,78.8,TE7,,,,,74,764,4,10.3,4.4/6.5,,,,,,,211,,,,,88,928,5,10.5,5.2/6.9,,,,,,,6,10.80
99,Chris Godwin Jr.,WR,TB,10,178,11,95.4,WR44,,,,,66,761,6,11.5,3.9/5.9,,,,,,,83,,,,,33,360,2,10.9,3.7/5.7,,,,,,,6,10.90
100,Bo Nix,QB,DEN,10,310,29,109.4,QB15,4.4,81,354,4,,,,,,4010,28,11,64%,33.6,10.8,305,4.3,83,356,5,,,,,—/0.1,3931,25,11,63%,36.0,10.1,6,11.00
101,Kyle Monangai,RB,CHI,10,174,26,104.8,RB35,4.4,188,819,6,27,229,1,8.4,1.6/2.4,,,,,,,147,4.6,169,783,5,18,164,,9.1,1.1/1.8,,,,,,,6,11.10
102,Quentin Johnston,WR,LAC,7,175,31,89.8,WR45,4.5,2,8,,57,809,6,14.2,3.4/5.7,,,,,,,171,3.5,2,7,,51,735,8,14.4,3.6/6.1,,,,,,,6,11.20
103,Jared Goff,QB,DET,6,304,18,114.5,QB16,1.7,25,43,1,,,,,,4595,33,11,68%,34.5,11.5,297,2.4,19,45,,,,,,,4564,34,8,68%,34.0,11.6,6,11.30
104,Jakobi Meyers,WR,JAX,7,182,4,110.3,WR46,5.7,5,29,,70,786,5,11.2,4.1/6.5,,,,,,,176,2.6,5,13,,75,835,3,11.1,4.7/6.9,,,,,,,6,11.40
105,Baker Mayfield,QB,TB,10,292,28,128.5,QB17,5.9,56,328,2,,,,,,3937,28,11,64%,31.0,11.2,272,6.9,55,382,1,,,,,,3693,26,11,63%,31.9,10.8,6,11.50
