player_name,position,team,projected_points,adp
Chris Rodriguez Jr.,RB,JAX,98,137.5
Jalen Tolbert,WR,MIA,97,272.8
Isiah Pacheco,RB,DET,96,152.0
Zachariah Branch,WR,ATL,96,199.7
Tyler Allgeier,RB,ARI,95,153.0
Evan Engram,TE,DEN,95,223.0
Michael Mayer,TE,LV,95,331.5
Jack Bech,WR,LV,94,262.5
Kayshon Boutte,WR,NE,94,205.3
Isaac TeSlaa,WR,DET,94,177.5
Cooper Kupp,WR,SEA,94,210.6
Braelon Allen,RB,NYJ,93,196.4
Travis Hunter,WR,JAX,92,167.7
Xavier Legette,WR,CAR,91,410.0
Tyquan Thornton,WR,KC,91,250.4
Dylan Sampson,RB,CLE,91,161.9
Tank Bigsby,RB,PHI,89,161.5
Jahan Dotson,WR,ATL,88,282.8
Pat Bryant,WR,DEN,85,234.5
Andrei Iosivas,WR,CIN,84,286.8
Malachi Fields,WR,NYG,81,238.8
Darnell Washington,TE,PIT,80,249.4
Dontayvion Wicks,WR,PHI,78,191.5
Cole Kmet,TE,CHI,78,395.0
Theo Johnson,TE,NYG,75,281.4
Ty Johnson,RB,BUF,74,267.8
Darius Slayton,WR,NYG,74,330.5
Ja'Kobi Lane,WR,BAL,73,214.2
Tory Horton,WR,SEA,71,248.2
David Njoku,TE,LAC,70,219.8
MarShawn Lloyd,RB,GB,69,176.7
Devaughn Vele,WR,NO,68,292.4
Jaylin Noel,WR,HOU,67,252.7
Najee Harris,RB,FA,66,330.5
Ray Davis,RB,BUF,65,181.5
Chimere Dike,WR,TEN,65,292.0
Darnell Mooney,WR,NYG,64,212.7
Mike Washington Jr.,RB,LV,64,195.3
Treylon Burks,WR,WAS,63,313.0
Marvin Mims Jr.,WR,DEN,62,236.0
Antonio Williams,WR,WAS,61,198.0
Jaydon Blue,RB,DAL,60,173.0
Kendrick Bourne,WR,ARI,60,330.5
Noah Gray,TE,KC,60,377.0
Keon Coleman,WR,BUF,59,243.2
Ted Hurst,WR,TB,58,223.4
Emmett Johnson,RB,KC,56,195.7
KaVontae Turpin,WR,DAL,56,253.0
Dawson Knox,TE,BUF,56,279.4
Jonah Coleman,RB,DEN,53,159.4
Mack Hollins,WR,NE,52,394.0
Christian Kirk,WR,SF,52,237.7
James Conner,RB,ARI,51,210.7
Elic Ayomanor,WR,TEN,51,319.5
Jaylen Wright,RB,MIA,50,236.8
Kalif Raymond,WR,CHI,50,279.0
Troy Franklin,WR,DEN,50,229.2
Elijah Sarratt,WR,BAL,48,310.5
Jordan James,RB,SF,47,211.3
Sean Tucker,RB,TB,45,206.3
Chris Brooks,RB,GB,44,301.0
Joshua Palmer,WR,BUF,42,322.0
Kimani Vidal,RB,LAC,39,200.7
Seth McGowan,RB,IND,38,353.0
Ollie Gordon II,RB,MIA,38,253.5
Isaiah Davis,RB,NYJ,37,273.4
Kaelon Black,RB,SF,34,209.7
Marquise Brown,WR,PHI,29,290.5
Demond Claiborne,RB,MIN,27,222.8
Emanuel Wilson,RB,SEA,26,243.0
George Holani,RB,SEA,26,214.8
Tez Johnson,WR,TB,25,389.0
Skyler Bell,WR,BUF,24,290.3
Nicholas Singleton,RB,TEN,22,205.8
Kaytron Allen,RB,WAS,16,203.5
DJ Giddens,RB,IND,16,268.2
Trevor Etienne,RB,CAR,13,288.0
