player_name,position,team,projected_points,adp
Dallas Cowboys,DEF,DAL,115.0,240.0
Gunnar Helm,TE,TEN,114.2,192.5
Tampa Bay Buccaneers,DEF,TB,113.0,246.0
Tre Harris,WR,LAC,112.7,162.5
Keaton Mitchell,RB,LAC,112.5,136.0
Mike Gesicki,TE,CIN,112.3,278.0
Darren Waller,TE,CAR,111.2,260.0
Oronde Gadsden II,TE,LAC,111.0,145.0
Adonai Mitchell,WR,NYJ,110.5,169.0
Samaje Perine,RB,CIN,109.3,298.5
Washington Commanders,DEF,WAS,109.0,345.0
Chris Bell,WR,MIA,108.3,271.5
Kirk Cousins,QB,LV,108.2,236.0
Las Vegas Raiders,DEF,LV,108.0,326.0
Brandon Aiyuk,WR,SF,107.7,198.0
Germie Bernard,WR,PIT,106.8,218.5
Carolina Panthers,DEF,CAR,106.0,247.0
Miami Dolphins,DEF,MIA,104.0,357.0
Tennessee Titans,DEF,TEN,104.0,292.0
Brian Robinson Jr.,RB,ATL,103.1,173.0
Arizona Cardinals,DEF,ARI,103.0,386.0
Michael Mayer,TE,LV,102.6,331.5
Deshaun Watson,QB,CLE,101.9,239.5
Devaughn Vele,WR,NO,101.1,306.5
Cade Otton,TE,TB,100.9,200.5
Justice Hill,RB,BAL,100.8,220.0
De'Zhaun Stribling,WR,SF,99.7,211.5
New York Jets,DEF,NYJ,99.0,373.0
Colby Parkinson,TE,LAR,98.2,220.5
Chris Rodriguez Jr.,RB,JAX,97.5,134.5
Braelon Allen,RB,NYJ,96.6,197.0
Jaylin Noel,WR,HOU,96.4,274.5
Zachariah Branch,WR,ATL,96.3,194.0
Isiah Pacheco,RB,DET,95.8,151.0
Michael Penix Jr.,QB,ATL,95.1,235.5
Cincinnati Bengals,DEF,CIN,95.0,318.0
Tyler Allgeier,RB,ARI,94.9,145.0
Evan Engram,TE,DEN,94.8,266.0
Cooper Kupp,WR,SEA,94.4,220.0
Isaac TeSlaa,WR,DET,94.3,173.5
Jalen Tolbert,WR,MIA,92.8,337.0
Travis Hunter,WR,JAX,91.5,173.5
Xavier Legette,WR,CAR,91.4,410.0
Dylan Sampson,RB,CLE,91.2,157.5
Tank Bigsby,RB,PHI,89.2,169.5
Jahan Dotson,WR,ATL,87.8,328.0
Pat Bryant,WR,DEN,84.6,291.0
Andrei Iosivas,WR,CIN,83.7,318.5
Jack Bech,WR,LV,81.1,325.5
Malachi Fields,WR,NYG,80.5,249.0
Darnell Washington,TE,PIT,80.3,312.0
Tyquan Thornton,WR,KC,79.7,307.5
Tyrone Tracy Jr.,RB,NYG,79.5,130.5
Mike Washington Jr.,RB,LV,79.3,196.0
Dontayvion Wicks,WR,PHI,78.3,213.5
Cole Kmet,TE,CHI,77.9,395.0
Theo Johnson,TE,NYG,75.0,311.5
Darius Slayton,WR,NYG,73.7,330.5
Ty Johnson,RB,BUF,73.5,302.0
Ja'Kobi Lane,WR,BAL,72.6,334.5
Demario Douglas,WR,NE,72.3,329.0
Tory Horton,WR,SEA,71.2,314.0
David Njoku,TE,LAC,70.2,216.5
Cyrus Allen,WR,KC,69.4,
Tank Dell,WR,HOU,69.3,210.0
MarShawn Lloyd,RB,GB,69.2,206.5
Mason Taylor,TE,NYJ,67.3,302.0
Chimere Dike,WR,TEN,65.1,292.0
Ray Davis,RB,BUF,64.5,192.0
Darnell Mooney,WR,NYG,63.8,209.0
Treylon Burks,WR,WAS,63.2,313.0
Marvin Mims Jr.,WR,DEN,61.7,236.0
Elijah Arroyo,TE,SEA,61.5,393.0
Emmett Johnson,RB,KC,61.5,179.0
Noah Fant,TE,NO,61.2,304.0
Najee Harris,RB,NYG,60.8,330.5
Antonio Williams,WR,WAS,60.7,175.0
Jaydon Blue,RB,DAL,60.3,200.5
Charlie Kolar,TE,LAC,60.2,279.5
Noah Gray,TE,KC,60.1,377.0
Kendrick Bourne,WR,ARI,59.8,330.5
Odell Beckham Jr.,WR,NYG,59.1,262.0
Keon Coleman,WR,BUF,58.9,274.0
Greg Dortch,WR,DET,58.2,273.0
Ted Hurst,WR,TB,58.0,267.5
Mack Hollins,WR,NE,56.5,394.0
KaVontae Turpin,WR,DAL,55.9,253.0
Dawson Knox,TE,BUF,55.8,335.0
Savion Williams,WR,GB,53.4,285.0
Jonah Coleman,RB,DEN,52.7,159.5
Christian Kirk,WR,SF,52.4,212.0
Olamide Zaccheaus,WR,ATL,52.0,374.0
LeQuint Allen Jr.,RB,JAX,51.6,298.0
James Conner,RB,ARI,51.2,226.5
Elic Ayomanor,WR,TEN,51.0,319.5
Kyle Juszczyk,RB,SF,51.0,0.0
Kalif Raymond,WR,CHI,50.4,279.0
Jaylen Wright,RB,MIA,50.3,233.0
Troy Franklin,WR,DEN,49.9,220.0
Devin Neal,RB,NO,49.8,385.0
Jaylin Lane,WR,WAS,49.6,0.0
Tyler Conklin,TE,DET,48.6,253.0
Elijah Sarratt,WR,BAL,47.7,310.5
J.J. McCarthy,QB,MIN,47.7,392.0
Darius Cooper,WR,PHI,47.3,0.0
Jordan James,RB,SF,46.6,209.5
Xavier Hutchinson,WR,HOU,45.3,303.0
Sean Tucker,RB,TB,44.5,191.0
Eli Raridon,TE,NE,44.5,327.0
Josh Oliver,TE,MIN,44.2,273.0
Chris Brooks,RB,GB,44.2,301.0
Bryce Lance,WR,NO,42.3,296.0
Jake Tonges,TE,SF,42.2,236.5
Elijah Higgins,TE,ARI,41.9,254.0
Joshua Palmer,WR,BUF,41.6,322.0
Tyler Higbee,TE,LAR,40.7,320.5
Ja'Tavion Sanders,TE,CAR,39.8,338.5
Kimani Vidal,RB,LAC,38.7,200.0
Tutu Atwell,WR,MIA,38.4,360.0
Seth McGowan,RB,IND,38.4,353.0
Ollie Gordon II,RB,MIA,37.7,319.5
Emari Demercado,RB,KC,37.7,288.0
Isaiah Davis,RB,NYJ,37.0,361.0
Kyle Williams,WR,NE,35.4,403.0
Kaelon Black,RB,SF,33.9,223.5
Calvin Austin III,WR,NYG,33.2,351.0
Eli Stowers,TE,PHI,33.2,252.0
Jordan Whittington,WR,LAR,33.1,267.0
